date,ticker,rolling_sharpe_252d,rolling_sortino_252d,var_95_252d,cvar_95_252d,max_drawdown_60d
2024-11-04,^AXJO,1.4093217033529144,2.2196842077208463,-1.215473857187938,-1.710169892773448,-2.289403703081261
2024-11-05,^AXJO,1.3990460969172436,2.203785920292885,-1.215473857187938,-1.710169892773448,-2.681944200638542
2024-11-06,^AXJO,1.445936180859086,2.2824746789624064,-1.215473857187938,-1.710169892773448,-1.8717359388400023
2024-11-07,^AXJO,1.508040021949728,2.3889064691562694,-1.215473857187938,-1.710169892773448,-0.8413310111843209
2024-11-08,^AXJO,1.5679775043674282,2.4811195250700364,-1.215473857187938,-1.710169892773448,-0.7276388947649037
2024-11-11,^AXJO,1.5724818670810576,2.4881446151760103,-1.215473857187938,-1.710169892773448,-1.0734952682435073
2024-11-12,^AXJO,1.4916977933433846,2.3564236465663853,-1.215473857187938,-1.710169892773448,-1.2003587472456445
2024-11-13,^AXJO,1.307886584617214,2.052825786035981,-1.215473857187938,-1.710169892773448,-1.9447335703321578
2024-11-14,^AXJO,1.4017535000252603,2.1990475745961664,-1.215473857187938,-1.710169892773448,-1.5785299543899178
2024-11-15,^AXJO,1.4760048787661646,2.3183489515989133,-1.215473857187938,-1.710169892773448,-0.846111035404673
2024-11-18,^AXJO,1.480639060062881,2.3257119948393887,-1.215473857187938,-1.710169892773448,-0.6665971673740057
2024-11-19,^AXJO,1.5303671716291845,2.4096691340363905,-1.215473857187938,-1.710169892773448,0.0
2024-11-20,^AXJO,1.484184196192957,2.3386996669604443,-1.215473857187938,-1.710169892773448,-0.5696225855326031
2024-11-21,^AXJO,1.5381549415807307,2.421850863018625,-1.215473857187938,-1.710169892773448,-0.6090279436350654
2024-11-22,^AXJO,1.5945637586934611,2.51645908525817,-1.215473857187938,-1.710169892773448,0.0
2024-11-25,^AXJO,1.6896101263573795,2.6652334111628675,-1.215473857187938,-1.710169892773448,0.0
2024-11-26,^AXJO,1.5914198018141075,2.511431144735101,-1.215473857187938,-1.710169892773448,-0.6913992284116377
2024-11-27,^AXJO,1.6146324230461486,2.549995529735203,-1.215473857187938,-1.710169892773448,-0.12948363628938475
2024-11-28,^AXJO,1.5909714965651907,2.5096970555167775,-1.215473857187938,-1.710169892773448,0.0
2024-11-29,^AXJO,1.600267453865751,2.5234657405398595,-1.215473857187938,-1.710169892773448,-0.0959180697315376
2024-12-02,^AXJO,1.5512185845985234,2.4421012304524132,-1.215473857187938,-1.710169892773448,0.0
2024-12-03,^AXJO,1.682407696654067,2.6509097502395087,-1.215473857187938,-1.710169892773448,0.0
2024-12-04,^AXJO,1.5168238666082163,2.369396718495347,-1.215473857187938,-1.710169892773448,-0.3837530039078829
2024-12-05,^AXJO,1.5361028480108003,2.398723425214761,-1.215473857187938,-1.710169892773448,-0.2389561660795403
2024-12-06,^AXJO,1.4503382207684172,2.2664903519612594,-1.215473857187938,-1.710169892773448,-0.8746092261427529
2024-12-09,^AXJO,1.4474908208136352,2.262054309489294,-1.215473857187938,-1.710169892773448,-0.8498939831028229
2024-12-10,^AXJO,1.3713940227379084,2.1438828228812015,-1.215473857187938,-1.710169892773448,-1.2030345720268287
2024-12-11,^AXJO,1.3011622019783504,2.0359521613872675,-1.215473857187938,-1.710169892773448,-1.6668304769984377
2024-12-12,^AXJO,1.1410880579368994,1.7691870302949926,-1.215473857187938,-1.710169892773448,-1.9411007019703774
2024-12-13,^AXJO,1.027783778424761,1.590946228672392,-1.215473857187938,-1.710169892773448,-2.3448558095477856
2024-12-16,^AXJO,0.9960209375827321,1.5421582481701546,-1.215473857187938,-1.710169892773448,-2.892223722379994
2024-12-17,^AXJO,0.9908209589464808,1.5335157136733526,-1.215473857187938,-1.710169892773448,-2.1329714561933777
2024-12-18,^AXJO,0.9289310975237133,1.4359734626727496,-1.215473857187938,-1.710169892773448,-2.1871150816436424
2024-12-19,^AXJO,0.8078611348432594,1.2383865756003236,-1.2552008807767483,-1.7463370416288853,-3.8492324192716865
2024-12-20,^AXJO,0.6966239068312499,1.0655920345261216,-1.2606149416169015,-1.7463370416288853,-5.040495638334375
2024-12-23,^AXJO,0.7673431431978351,1.1832962209757953,-1.2606149416169015,-1.7463370416288853,-3.4560761275467478
