date,tech_vs_broad,small_vs_large,equity_bond_ratio,equity_bond_rotation_10d,gold_silver_ratio,gold_silver_chg_5d,risk_appetite,spy_tlt_corr_30d
2024-03-27,-0.0027797932721866925,0.014590734959619489,5.862886836729667,1.409763739118275,9.022656776472385,3.9359443055825283,0.005905470843716398,0.1096740280783512
2024-03-28,-0.005837560098956418,0.009683347197694259,5.866722565416967,0.11564929822340808,9.042637416294642,1.4089878653654297,0.0019228935493689203,0.09135001006371624
2024-04-01,-0.005026254181091372,0.01402547839423729,5.967762646884865,2.5109178038883684,9.09098870409097,2.3672044228511213,0.004499612106572959,0.10844949401235307
2024-04-02,-0.006417320876752397,-0.003319136982994353,5.962674050946118,1.51166591526124,8.846056964758693,-0.6199511765552557,-0.004868228929873375,0.11173548125418102
2024-04-03,-0.0039085498363214954,0.0020603739720390646,5.970523170585416,1.3671751988160175,8.602507457787281,-4.691520283017692,-0.0009240879321412154,0.11855679337079048
2024-04-04,-0.002028349117047079,-0.008694881859138026,5.855645483160715,-1.5261570685757397,8.636994946889024,-4.274371054310944,-0.005361615488092553,0.04509255252494317
2024-04-05,0.0008979602134717712,-0.018946625086433633,6.000337549758596,0.7913439118448551,8.595285397032933,-4.947140957521867,-0.00902433243648093,-0.11295536278990335
2024-04-08,-0.0031881308342706083,-0.00661253548265428,6.004350917736188,2.0164413364483824,8.5228346054623,-6.2496403540024055,-0.004900333158462444,-0.11798713178457991
2024-04-09,0.001614013620477417,0.008317349661540296,5.955895358334795,0.9660137920395551,8.463063918354205,-4.329534027762572,0.004965681641008857,-0.12280675466781645
2024-04-10,0.0017475533376573038,-0.013621516639276798,6.027620076333276,2.6556284636725325,8.471905467457786,-1.5181851450912665,-0.005936981650809747,0.04508689178703216
2024-04-11,0.01343070177068073,-0.01687186837330401,6.100834248506258,4.058536662961054,8.4505959676113,-2.1581462120093486,-0.00172058330131164,0.038637740054228736
2024-04-12,0.009626334515782653,-0.013552170273191888,5.98463999474085,2.0099370305829867,8.462349063267046,-1.546619194422283,-0.0019629178787046175,-0.03279504274803957
2024-04-15,0.0058574504148378725,-0.020113990297819795,6.002740176528356,0.586107922066037,8.36614911869804,-1.8384198921781336,-0.007128269941490961,0.02500193806889621
2024-04-16,0.005237162309526755,-0.02444520385037985,6.031826679068927,1.1597586507656965,8.574418905521922,1.315776274904601,-0.009604020770426547,0.027759346282487444
2024-04-17,-0.00218846237112591,-0.013071799084976576,5.9303122626635245,-0.6734905262573254,8.494777295837148,0.26997265806631976,-0.007630130728051243,0.07709076972098573
2024-04-18,-0.013631768838847202,-0.01103951412252746,5.948087110425259,1.5786752721007824,8.520494630216296,0.8271447702966617,-0.012335641480687332,0.05531477121633473
2024-04-19,-0.023180141974878832,0.0027806961038581157,5.87500677359045,-2.088728761154246,8.436259249730606,-0.3083046248906207,-0.010199722935510358,0.018874518021107373
2024-04-22,-0.019018504824556692,0.006924900452049965,5.939104075246608,-1.0866593805643143,8.647011820511839,3.35713238945361,-0.006046802186253364,0.023387126778185878
